       sku       asin price quantity
 ertan-404 B08NH6HR42     0        0
 ertan-405 B0193YRJ2K     0        0
 ertan-406 B0791DM6SJ     0        0
 ertan-407 B08LDCBY89     0        0
 ertan-408 B07VJYSP94     0        0
 ertan-409 B07RJM46MV     0        0
 ertan-410 B07W8GJZ5W     0        0
 ertan-411 B08L6P9DFX     0        0
 ertan-412 B07WRH2ZPW     0        0
 ertan-413 B072JJQ437     0        0
 ertan-414 B08H221392     0        0
 ertan-415 B083SBC8PC     0        0
 ertan-416 B08C9TMC3L     0        0
 ertan-417 B0714MR9HY     0        0
 ertan-418 B0B1551D8Z     0        0
 ertan-419 B085H6V2L1     0        0
 ertan-420 B085773MJD     0        0
 ertan-421 B09G9PWBGV     0        0
 ertan-422 B07G2GPBB1     0        0
 ertan-423 B08T97K2XG     0        0
 ertan-424 B08PP16JPF     0        0
 ertan-425 B0832MM53C     0        0
 ertan-426 B07Y7ZVHGQ     0        0
 ertan-427 B0B2QR18WV     0        0
 ertan-428 B08BHQKWMJ     0        0
 ertan-429 B09QJYMXPH     0        0
 ertan-430 B07MH37WCQ     0        0
 ertan-431 B0788YXMM8     0        0
 ertan-432 B0045HE4RO     0        0
 ertan-433 B06VWGR65N     0        0
 ertan-434 B015YL7WN2     0        0
 ertan-435 B08GQ4DKN1     0        0
 ertan-436 B09XHFPT6N     0        0
 ertan-437 B089Y1Z9V6     0        0
 ertan-438 B00BTOFYLQ     0        0
 ertan-439 B08XVW7XC5     0        0
 ertan-440 B08DMRW5MC     0        0
 ertan-441 B07R2BH63V     0        0
 ertan-442 B08H8T58DV     0        0
 ertan-443 B09R44Y9DL     0        0
 ertan-444 B085XKR5DL     0        0
 ertan-445 B01MXOPQ4K     0        0
 ertan-446 B07VQGJBZ8     0        0
 ertan-447 B08VJ2HTGV     0        0
 ertan-448 B097R5S5VV     0        0
 ertan-449 B00OZLSYYY     0        0
 ertan-450 B07FB9X39B     0        0
 ertan-451 B089DK9KFP     0        0
 ertan-452 B07QML4RN1     0        0
 ertan-453 B07Z4BNHPP     0        0
 ertan-454 B07QS75N1M     0        0
 ertan-455 B07W3M1WXP     0        0
 ertan-456 B0894PHGX6     0        0
 ertan-457 B07Q7TY49S     0        0
 ertan-458 B01FRGNCF6     0        0
 ertan-459 B09S5Q8T8X     0        0
 ertan-460 B07NXTGNLW     0        0
 ertan-461 B07K1XL822     0        0
 ertan-462 B07WQ2PWHY     0        0
 ertan-463 B07ZFG4YP8     0        0
 ertan-464 B0845QVJHB     0        0
